input,target
rotation 651-2-39 to 797-4-951 ,rotation: [ 651-2-39 ] -- [797-4-951 ] 
rotation 723-930-8 ,rotation: [ 723-930-8 ] 
rotation 2-57-344 to 1-49-254 ,rotation: [ 2-57-344 ] -- [1-49-254 ] 
rotation 969-21-75 ,rotation: [ 969-21-75 ] 
rotation 818-1-974 to 41-7-97 ,rotation: [ 818-1-974 ] -- [41-7-97 ] 
rotation 113-0-047 to 9-11-1 ,rotation: [ 113-0-047 ] -- [9-11-1 ] 
rotation 592-0-12 ,rotation: [ 592-0-12 ] 
rotation 8-43-522 ,rotation: [ 8-43-522 ] 
rotation 573-5-834 to 066-116-891 ,rotation: [ 573-5-834 ] -- [066-116-891 ] 
rotation 816-3-68 to 717-00-413 ,rotation: [ 816-3-68 ] -- [717-00-413 ] 
rotation 00-048-0 ,rotation: [ 00-048-0 ] 
rotation 36-74-5 ,rotation: [ 36-74-5 ] 
rotation 189-12-01 ,rotation: [ 189-12-01 ] 
rotation 43-645-712 ,rotation: [ 43-645-712 ] 
rotation 737-2-8 ,rotation: [ 737-2-8 ] 
rotation 74-2-484 ,rotation: [ 74-2-484 ] 
rotation 9-7-2 ,rotation: [ 9-7-2 ] 
rotation 28-04-44 ,rotation: [ 28-04-44 ] 
rotation 4-8-98 ,rotation: [ 4-8-98 ] 
rotation 670-0-22 to 199-68-80 ,rotation: [ 670-0-22 ] -- [199-68-80 ] 
rotation 92-810-75 to 9-317-917 ,rotation: [ 92-810-75 ] -- [9-317-917 ] 
rotation 17-4-12 ,rotation: [ 17-4-12 ] 
rotation 88-3-11 to 4-994-60 ,rotation: [ 88-3-11 ] -- [4-994-60 ] 
rotation 420-26-22 to 007-430-596 ,rotation: [ 420-26-22 ] -- [007-430-596 ] 
rotation 388-158-298 to 938-60-02 ,rotation: [ 388-158-298 ] -- [938-60-02 ] 
rotation 973-211-239 to 228-334-452 ,rotation: [ 973-211-239 ] -- [228-334-452 ] 
rotation 99-37-64 to 50-10-5 ,rotation: [ 99-37-64 ] -- [50-10-5 ] 
rotation 0-971-529 ,rotation: [ 0-971-529 ] 
rotation 9-57-97 to 5-2-778 ,rotation: [ 9-57-97 ] -- [5-2-778 ] 
rotation 2-0-75 to 8-849-1 ,rotation: [ 2-0-75 ] -- [8-849-1 ] 
rotation 19-9-6 to 851-19-33 ,rotation: [ 19-9-6 ] -- [851-19-33 ] 
rotation 1-53-5 ,rotation: [ 1-53-5 ] 
rotation 734-35-183 ,rotation: [ 734-35-183 ] 
rotation 484-437-34 to 512-2-25 ,rotation: [ 484-437-34 ] -- [512-2-25 ] 
rotation 420-961-27 to 211-4-8 ,rotation: [ 420-961-27 ] -- [211-4-8 ] 
rotation 7-989-4 ,rotation: [ 7-989-4 ] 
rotation 62-3-290 to 733-945-485 ,rotation: [ 62-3-290 ] -- [733-945-485 ] 
rotation 905-3-972 to 777-962-87 ,rotation: [ 905-3-972 ] -- [777-962-87 ] 
rotation 8-7-24 to 010-7-77 ,rotation: [ 8-7-24 ] -- [010-7-77 ] 
rotation 70-38-991 ,rotation: [ 70-38-991 ] 
rotation 085-434-60 to 85-67-657 ,rotation: [ 085-434-60 ] -- [85-67-657 ] 
rotation 576-24-561 ,rotation: [ 576-24-561 ] 
rotation 864-4-14 to 6-12-24 ,rotation: [ 864-4-14 ] -- [6-12-24 ] 
rotation 887-220-765 to 569-7-600 ,rotation: [ 887-220-765 ] -- [569-7-600 ] 
rotation 92-4-166 to 932-314-25 ,rotation: [ 92-4-166 ] -- [932-314-25 ] 
rotation 4-6-5 to 456-381-64 ,rotation: [ 4-6-5 ] -- [456-381-64 ] 
rotation 82-819-965 ,rotation: [ 82-819-965 ] 
rotation 44-2-293 to 092-51-5 ,rotation: [ 44-2-293 ] -- [092-51-5 ] 
rotation 666-7-8 ,rotation: [ 666-7-8 ] 
rotation 552-778-304 ,rotation: [ 552-778-304 ] 
rotation 2-858-302 ,rotation: [ 2-858-302 ] 
rotation 614-67-111 to 370-8-857 ,rotation: [ 614-67-111 ] -- [370-8-857 ] 
rotation 62-7-9 ,rotation: [ 62-7-9 ] 
rotation 0-631-07 ,rotation: [ 0-631-07 ] 
rotation 34-82-67 ,rotation: [ 34-82-67 ] 
rotation 7-748-26 to 08-4-592 ,rotation: [ 7-748-26 ] -- [08-4-592 ] 
rotation 54-8-505 to 32-2-7 ,rotation: [ 54-8-505 ] -- [32-2-7 ] 
rotation 8-931-3 to 42-345-9 ,rotation: [ 8-931-3 ] -- [42-345-9 ] 
rotation 7-0-295 ,rotation: [ 7-0-295 ] 
rotation 435-92-2 to 2-66-793 ,rotation: [ 435-92-2 ] -- [2-66-793 ] 
rotation 52-143-758 ,rotation: [ 52-143-758 ] 
rotation 21-80-768 ,rotation: [ 21-80-768 ] 
rotation 5-72-73 to 414-533-4 ,rotation: [ 5-72-73 ] -- [414-533-4 ] 
rotation 0-847-457 ,rotation: [ 0-847-457 ] 
rotation 28-301-939 to 24-6-235 ,rotation: [ 28-301-939 ] -- [24-6-235 ] 
rotation 2-9-5 ,rotation: [ 2-9-5 ] 
rotation 617-08-4 to 503-9-54 ,rotation: [ 617-08-4 ] -- [503-9-54 ] 
rotation 385-614-547 to 296-32-1 ,rotation: [ 385-614-547 ] -- [296-32-1 ] 
rotation 6-3-300 to 264-4-847 ,rotation: [ 6-3-300 ] -- [264-4-847 ] 
rotation 946-42-41 ,rotation: [ 946-42-41 ] 
rotation 6-06-1 ,rotation: [ 6-06-1 ] 
rotation 09-179-82 to 546-13-138 ,rotation: [ 09-179-82 ] -- [546-13-138 ] 
rotation 80-9-361 ,rotation: [ 80-9-361 ] 
rotation 660-48-70 to 38-8-9 ,rotation: [ 660-48-70 ] -- [38-8-9 ] 
rotation 21-34-74 to 694-00-8 ,rotation: [ 21-34-74 ] -- [694-00-8 ] 
rotation 50-333-537 to 856-42-221 ,rotation: [ 50-333-537 ] -- [856-42-221 ] 
rotation 55-122-601 to 8-4-9 ,rotation: [ 55-122-601 ] -- [8-4-9 ] 
rotation 524-03-08 ,rotation: [ 524-03-08 ] 
rotation 8-719-79 ,rotation: [ 8-719-79 ] 
rotation 1-121-16 ,rotation: [ 1-121-16 ] 
rotation 88-84-80 to 39-3-0 ,rotation: [ 88-84-80 ] -- [39-3-0 ] 
rotation 38-96-84 ,rotation: [ 38-96-84 ] 
rotation 92-1-93 to 46-268-59 ,rotation: [ 92-1-93 ] -- [46-268-59 ] 
rotation 4-48-792 to 8-25-218 ,rotation: [ 4-48-792 ] -- [8-25-218 ] 
rotation 1-880-75 ,rotation: [ 1-880-75 ] 
rotation 36-04-863 ,rotation: [ 36-04-863 ] 
rotation 14-543-9 ,rotation: [ 14-543-9 ] 
rotation 5-26-479 to 94-2-2 ,rotation: [ 5-26-479 ] -- [94-2-2 ] 
rotation 89-3-22 to 96-48-8 ,rotation: [ 89-3-22 ] -- [96-48-8 ] 
rotation 666-994-9 to 214-50-5 ,rotation: [ 666-994-9 ] -- [214-50-5 ] 
rotation 232-156-40 to 649-06-533 ,rotation: [ 232-156-40 ] -- [649-06-533 ] 
rotation 7-814-647 to 80-0-216 ,rotation: [ 7-814-647 ] -- [80-0-216 ] 
rotation 2-266-4 to 37-457-5 ,rotation: [ 2-266-4 ] -- [37-457-5 ] 
rotation 88-258-2 ,rotation: [ 88-258-2 ] 
rotation 496-38-728 to 69-845-109 ,rotation: [ 496-38-728 ] -- [69-845-109 ] 
rotation 756-3-97 to 64-90-9 ,rotation: [ 756-3-97 ] -- [64-90-9 ] 
rotation 747-4-96 ,rotation: [ 747-4-96 ] 
rotation 822-122-7 ,rotation: [ 822-122-7 ] 
rotation 66-79-5 ,rotation: [ 66-79-5 ] 
rotation 565-28-13 ,rotation: [ 565-28-13 ] 
rotation 0-14-9 ,rotation: [ 0-14-9 ] 
rotation 56-4-344 ,rotation: [ 56-4-344 ] 
rotation 08-265-0 ,rotation: [ 08-265-0 ] 
rotation 666-4-12 to 8-2-5 ,rotation: [ 666-4-12 ] -- [8-2-5 ] 
rotation 092-240-806 to 525-577-5 ,rotation: [ 092-240-806 ] -- [525-577-5 ] 
rotation 072-173-766 ,rotation: [ 072-173-766 ] 
rotation 8-3-427 ,rotation: [ 8-3-427 ] 
rotation 706-751-4 to 047-19-4 ,rotation: [ 706-751-4 ] -- [047-19-4 ] 
rotation 233-838-1 to 8-850-38 ,rotation: [ 233-838-1 ] -- [8-850-38 ] 
rotation 6-30-4 ,rotation: [ 6-30-4 ] 
rotation 9-098-35 to 80-98-53 ,rotation: [ 9-098-35 ] -- [80-98-53 ] 
rotation 6-47-5 to 963-413-04 ,rotation: [ 6-47-5 ] -- [963-413-04 ] 
rotation 8-8-415 ,rotation: [ 8-8-415 ] 
rotation 89-186-7 to 5-4-163 ,rotation: [ 89-186-7 ] -- [5-4-163 ] 
rotation 823-0-155 ,rotation: [ 823-0-155 ] 
rotation 8-43-18 to 18-389-505 ,rotation: [ 8-43-18 ] -- [18-389-505 ] 
rotation 8-05-2 ,rotation: [ 8-05-2 ] 
rotation 504-9-98 ,rotation: [ 504-9-98 ] 
rotation 93-80-469 to 30-97-3 ,rotation: [ 93-80-469 ] -- [30-97-3 ] 
rotation 710-74-262 to 640-9-5 ,rotation: [ 710-74-262 ] -- [640-9-5 ] 
rotation 057-697-83 ,rotation: [ 057-697-83 ] 
rotation 96-987-5 ,rotation: [ 96-987-5 ] 
rotation 994-1-7 to 50-96-57 ,rotation: [ 994-1-7 ] -- [50-96-57 ] 
rotation 7-712-845 ,rotation: [ 7-712-845 ] 
rotation 37-3-44 ,rotation: [ 37-3-44 ] 
rotation 948-85-1 to 803-91-63 ,rotation: [ 948-85-1 ] -- [803-91-63 ] 
rotation 68-57-736 ,rotation: [ 68-57-736 ] 
rotation 71-4-2 ,rotation: [ 71-4-2 ] 
rotation 491-369-4 to 166-46-37 ,rotation: [ 491-369-4 ] -- [166-46-37 ] 
rotation 16-89-0 ,rotation: [ 16-89-0 ] 
rotation 00-730-720 to 759-7-886 ,rotation: [ 00-730-720 ] -- [759-7-886 ] 
rotation 50-1-076 ,rotation: [ 50-1-076 ] 
rotation 00-3-645 ,rotation: [ 00-3-645 ] 
rotation 0-60-802 to 48-933-4 ,rotation: [ 0-60-802 ] -- [48-933-4 ] 
rotation 5-606-9 to 68-199-2 ,rotation: [ 5-606-9 ] -- [68-199-2 ] 
rotation 200-7-000 ,rotation: [ 200-7-000 ] 
rotation 5-93-2 ,rotation: [ 5-93-2 ] 
rotation 03-037-210 ,rotation: [ 03-037-210 ] 
rotation 2-528-68 ,rotation: [ 2-528-68 ] 
rotation 49-8-7 to 6-001-8 ,rotation: [ 49-8-7 ] -- [6-001-8 ] 
rotation 060-83-024 ,rotation: [ 060-83-024 ] 
rotation 2-431-436 ,rotation: [ 2-431-436 ] 
rotation 8-8-50 to 2-1-641 ,rotation: [ 8-8-50 ] -- [2-1-641 ] 
rotation 13-168-4 ,rotation: [ 13-168-4 ] 
rotation 06-56-913 ,rotation: [ 06-56-913 ] 
rotation 92-76-4 ,rotation: [ 92-76-4 ] 
rotation 44-96-62 ,rotation: [ 44-96-62 ] 
rotation 25-444-03 to 74-03-8 ,rotation: [ 25-444-03 ] -- [74-03-8 ] 
rotation 9-61-70 to 7-9-43 ,rotation: [ 9-61-70 ] -- [7-9-43 ] 
rotation 95-35-70 ,rotation: [ 95-35-70 ] 
rotation 03-136-7 ,rotation: [ 03-136-7 ] 
rotation 449-203-8 to 72-0-6 ,rotation: [ 449-203-8 ] -- [72-0-6 ] 
rotation 537-8-61 to 59-9-096 ,rotation: [ 537-8-61 ] -- [59-9-096 ] 
rotation 9-950-674 to 40-050-461 ,rotation: [ 9-950-674 ] -- [40-050-461 ] 
rotation 2-7-141 to 8-816-755 ,rotation: [ 2-7-141 ] -- [8-816-755 ] 
rotation 136-40-7 to 55-79-73 ,rotation: [ 136-40-7 ] -- [55-79-73 ] 
rotation 18-81-660 ,rotation: [ 18-81-660 ] 
rotation 9-36-7 to 93-02-7 ,rotation: [ 9-36-7 ] -- [93-02-7 ] 
rotation 296-57-6 to 390-935-57 ,rotation: [ 296-57-6 ] -- [390-935-57 ] 
rotation 31-76-339 ,rotation: [ 31-76-339 ] 
rotation 57-4-7 to 8-96-765 ,rotation: [ 57-4-7 ] -- [8-96-765 ] 
rotation 732-0-2 ,rotation: [ 732-0-2 ] 
rotation 207-538-997 to 327-749-971 ,rotation: [ 207-538-997 ] -- [327-749-971 ] 
rotation 01-3-843 ,rotation: [ 01-3-843 ] 
rotation 14-37-6 ,rotation: [ 14-37-6 ] 
rotation 198-9-0 ,rotation: [ 198-9-0 ] 
rotation 021-172-491 to 1-52-48 ,rotation: [ 021-172-491 ] -- [1-52-48 ] 
rotation 3-19-94 ,rotation: [ 3-19-94 ] 
rotation 0-5-60 ,rotation: [ 0-5-60 ] 
rotation 053-0-4 ,rotation: [ 053-0-4 ] 
rotation 5-555-5 ,rotation: [ 5-555-5 ] 
rotation 039-3-996 ,rotation: [ 039-3-996 ] 
rotation 408-204-7 to 268-57-10 ,rotation: [ 408-204-7 ] -- [268-57-10 ] 
rotation 36-9-75 to 0-7-874 ,rotation: [ 36-9-75 ] -- [0-7-874 ] 
rotation 0-76-88 ,rotation: [ 0-76-88 ] 
rotation 54-14-385 to 00-6-225 ,rotation: [ 54-14-385 ] -- [00-6-225 ] 
rotation 71-03-4 ,rotation: [ 71-03-4 ] 
rotation 798-95-5 ,rotation: [ 798-95-5 ] 
rotation 100-0-5 ,rotation: [ 100-0-5 ] 
rotation 15-60-18 ,rotation: [ 15-60-18 ] 
rotation 6-5-46 ,rotation: [ 6-5-46 ] 
rotation 5-670-9 ,rotation: [ 5-670-9 ] 
rotation 138-9-19 ,rotation: [ 138-9-19 ] 
rotation 193-8-114 to 71-9-444 ,rotation: [ 193-8-114 ] -- [71-9-444 ] 
rotation 6-88-2 to 0-76-0 ,rotation: [ 6-88-2 ] -- [0-76-0 ] 
rotation 54-3-893 ,rotation: [ 54-3-893 ] 
rotation 688-352-9 ,rotation: [ 688-352-9 ] 
rotation 72-31-6 ,rotation: [ 72-31-6 ] 
rotation 5-111-87 to 863-4-292 ,rotation: [ 5-111-87 ] -- [863-4-292 ] 
rotation 933-832-742 to 4-662-9 ,rotation: [ 933-832-742 ] -- [4-662-9 ] 
rotation 987-8-721 ,rotation: [ 987-8-721 ] 
rotation 41-26-55 to 2-31-4 ,rotation: [ 41-26-55 ] -- [2-31-4 ] 
rotation 0-99-97 ,rotation: [ 0-99-97 ] 
rotation 69-8-13 ,rotation: [ 69-8-13 ] 
rotation 949-9-189 to 2-8-6 ,rotation: [ 949-9-189 ] -- [2-8-6 ] 
rotation 6-7-81 to 816-528-642 ,rotation: [ 6-7-81 ] -- [816-528-642 ] 
rotation 269-80-971 to 26-1-01 ,rotation: [ 269-80-971 ] -- [26-1-01 ] 
rotation 55-0-833 to 4-00-767 ,rotation: [ 55-0-833 ] -- [4-00-767 ] 
rotation 4-889-913 to 276-06-3 ,rotation: [ 4-889-913 ] -- [276-06-3 ] 
rotation 904-97-6 ,rotation: [ 904-97-6 ] 
rotation 0-39-92 ,rotation: [ 0-39-92 ] 
rotation 7-707-917 ,rotation: [ 7-707-917 ] 
rotation 3-063-3 to 62-587-529 ,rotation: [ 3-063-3 ] -- [62-587-529 ] 
rotation 296-13-291 to 87-87-07 ,rotation: [ 296-13-291 ] -- [87-87-07 ] 
rotation 897-212-18 ,rotation: [ 897-212-18 ] 
rotation 9-036-93 to 33-85-099 ,rotation: [ 9-036-93 ] -- [33-85-099 ] 
rotation 45-576-1 ,rotation: [ 45-576-1 ] 
rotation 0-245-5 ,rotation: [ 0-245-5 ] 
rotation 82-3-7 to 361-5-0 ,rotation: [ 82-3-7 ] -- [361-5-0 ] 
rotation 251-623-46 to 413-196-32 ,rotation: [ 251-623-46 ] -- [413-196-32 ] 
rotation 6-3-6 to 936-098-3 ,rotation: [ 6-3-6 ] -- [936-098-3 ] 
rotation 56-398-372 to 7-87-43 ,rotation: [ 56-398-372 ] -- [7-87-43 ] 
rotation 219-4-65 ,rotation: [ 219-4-65 ] 
rotation 2-88-6 to 744-8-067 ,rotation: [ 2-88-6 ] -- [744-8-067 ] 
rotation 13-378-935 to 0-33-157 ,rotation: [ 13-378-935 ] -- [0-33-157 ] 
rotation 7-7-86 to 8-1-2 ,rotation: [ 7-7-86 ] -- [8-1-2 ] 
rotation 520-31-4 ,rotation: [ 520-31-4 ] 
rotation 6-1-76 to 196-485-50 ,rotation: [ 6-1-76 ] -- [196-485-50 ] 
rotation 012-885-1 to 66-132-51 ,rotation: [ 012-885-1 ] -- [66-132-51 ] 
rotation 6-016-2 to 55-83-4 ,rotation: [ 6-016-2 ] -- [55-83-4 ] 
rotation 0-4-4 ,rotation: [ 0-4-4 ] 
rotation 0-601-22 ,rotation: [ 0-601-22 ] 
rotation 45-480-73 to 56-0-6 ,rotation: [ 45-480-73 ] -- [56-0-6 ] 
rotation 571-94-53 to 24-45-66 ,rotation: [ 571-94-53 ] -- [24-45-66 ] 
rotation 59-15-260 to 2-388-8 ,rotation: [ 59-15-260 ] -- [2-388-8 ] 
rotation 1-09-9 to 57-51-669 ,rotation: [ 1-09-9 ] -- [57-51-669 ] 
rotation 11-9-0 to 31-980-18 ,rotation: [ 11-9-0 ] -- [31-980-18 ] 
rotation 8-28-21 to 4-50-807 ,rotation: [ 8-28-21 ] -- [4-50-807 ] 
rotation 83-294-74 to 33-1-8 ,rotation: [ 83-294-74 ] -- [33-1-8 ] 
rotation 248-01-0 ,rotation: [ 248-01-0 ] 
rotation 18-764-526 ,rotation: [ 18-764-526 ] 
rotation 294-8-91 to 631-477-0 ,rotation: [ 294-8-91 ] -- [631-477-0 ] 
rotation 31-77-44 ,rotation: [ 31-77-44 ] 
rotation 1-071-8 to 744-14-317 ,rotation: [ 1-071-8 ] -- [744-14-317 ] 
rotation 9-76-69 ,rotation: [ 9-76-69 ] 
rotation 1-8-63 to 1-9-418 ,rotation: [ 1-8-63 ] -- [1-9-418 ] 
rotation 9-63-6 to 313-70-6 ,rotation: [ 9-63-6 ] -- [313-70-6 ] 
rotation 988-1-28 to 9-4-822 ,rotation: [ 988-1-28 ] -- [9-4-822 ] 
rotation 89-30-8 ,rotation: [ 89-30-8 ] 
rotation 462-39-714 to 229-6-55 ,rotation: [ 462-39-714 ] -- [229-6-55 ] 
rotation 94-48-56 to 99-1-0 ,rotation: [ 94-48-56 ] -- [99-1-0 ] 
rotation 23-80-610 to 409-492-55 ,rotation: [ 23-80-610 ] -- [409-492-55 ] 
rotation 5-2-60 ,rotation: [ 5-2-60 ] 
rotation 24-2-126 ,rotation: [ 24-2-126 ] 
rotation 5-86-90 ,rotation: [ 5-86-90 ] 
rotation 20-22-572 to 9-3-98 ,rotation: [ 20-22-572 ] -- [9-3-98 ] 
rotation 0-2-17 to 92-201-78 ,rotation: [ 0-2-17 ] -- [92-201-78 ] 
rotation 3-403-5 to 308-073-680 ,rotation: [ 3-403-5 ] -- [308-073-680 ] 
rotation 911-70-554 ,rotation: [ 911-70-554 ] 
rotation 8-042-0 ,rotation: [ 8-042-0 ] 
rotation 8-509-59 ,rotation: [ 8-509-59 ] 
rotation 682-07-1 ,rotation: [ 682-07-1 ] 
rotation 8-7-23 ,rotation: [ 8-7-23 ] 
rotation 36-8-26 ,rotation: [ 36-8-26 ] 
rotation 747-2-697 ,rotation: [ 747-2-697 ] 
rotation 3-19-651 ,rotation: [ 3-19-651 ] 
rotation 21-775-166 ,rotation: [ 21-775-166 ] 
rotation 86-17-4 to 2-6-403 ,rotation: [ 86-17-4 ] -- [2-6-403 ] 
rotation 351-9-40 ,rotation: [ 351-9-40 ] 
rotation 75-253-03 to 535-4-283 ,rotation: [ 75-253-03 ] -- [535-4-283 ] 
rotation 27-073-482 ,rotation: [ 27-073-482 ] 
rotation 55-77-5 ,rotation: [ 55-77-5 ] 
rotation 3-49-0 to 3-37-8 ,rotation: [ 3-49-0 ] -- [3-37-8 ] 
rotation 330-97-055 to 4-2-857 ,rotation: [ 330-97-055 ] -- [4-2-857 ] 
rotation 5-32-976 to 21-3-26 ,rotation: [ 5-32-976 ] -- [21-3-26 ] 
rotation 9-7-9 to 0-408-45 ,rotation: [ 9-7-9 ] -- [0-408-45 ] 
rotation 184-56-885 to 98-04-94 ,rotation: [ 184-56-885 ] -- [98-04-94 ] 
rotation 3-45-561 ,rotation: [ 3-45-561 ] 
rotation 9-59-8 to 503-2-231 ,rotation: [ 9-59-8 ] -- [503-2-231 ] 
rotation 043-321-1 to 257-86-235 ,rotation: [ 043-321-1 ] -- [257-86-235 ] 
rotation 5-237-156 ,rotation: [ 5-237-156 ] 
rotation 4-9-83 ,rotation: [ 4-9-83 ] 
rotation 62-0-0 to 26-094-2 ,rotation: [ 62-0-0 ] -- [26-094-2 ] 
rotation 836-93-20 to 2-7-2 ,rotation: [ 836-93-20 ] -- [2-7-2 ] 
rotation 89-63-9 ,rotation: [ 89-63-9 ] 
rotation 999-4-827 ,rotation: [ 999-4-827 ] 
rotation 86-399-02 to 8-1-50 ,rotation: [ 86-399-02 ] -- [8-1-50 ] 
rotation 81-4-51 ,rotation: [ 81-4-51 ] 
rotation 1-89-2 to 3-3-4 ,rotation: [ 1-89-2 ] -- [3-3-4 ] 
rotation 19-6-522 ,rotation: [ 19-6-522 ] 
rotation 1-7-45 to 832-1-3 ,rotation: [ 1-7-45 ] -- [832-1-3 ] 
rotation 251-094-43 to 06-38-448 ,rotation: [ 251-094-43 ] -- [06-38-448 ] 
rotation 354-2-687 ,rotation: [ 354-2-687 ] 
rotation 676-319-43 ,rotation: [ 676-319-43 ] 
rotation 32-0-406 to 364-122-6 ,rotation: [ 32-0-406 ] -- [364-122-6 ] 
rotation 9-6-970 ,rotation: [ 9-6-970 ] 
rotation 170-6-10 ,rotation: [ 170-6-10 ] 
rotation 758-513-1 ,rotation: [ 758-513-1 ] 
rotation 67-822-15 to 0-168-0 ,rotation: [ 67-822-15 ] -- [0-168-0 ] 
rotation 1-8-01 ,rotation: [ 1-8-01 ] 
rotation 74-5-10 to 13-18-80 ,rotation: [ 74-5-10 ] -- [13-18-80 ] 
rotation 51-780-885 to 9-356-5 ,rotation: [ 51-780-885 ] -- [9-356-5 ] 
rotation 55-40-511 ,rotation: [ 55-40-511 ] 
rotation 3-1-808 ,rotation: [ 3-1-808 ] 
rotation 1-907-7 ,rotation: [ 1-907-7 ] 
rotation 5-141-9 ,rotation: [ 5-141-9 ] 
rotation 8-9-18 to 7-72-08 ,rotation: [ 8-9-18 ] -- [7-72-08 ] 
rotation 529-20-9 to 09-008-84 ,rotation: [ 529-20-9 ] -- [09-008-84 ] 
rotation 2-68-4 ,rotation: [ 2-68-4 ] 
rotation 878-0-62 to 06-854-4 ,rotation: [ 878-0-62 ] -- [06-854-4 ] 
rotation 617-58-01 to 7-30-89 ,rotation: [ 617-58-01 ] -- [7-30-89 ] 
rotation 0-79-872 ,rotation: [ 0-79-872 ] 
rotation 97-4-5 to 5-9-536 ,rotation: [ 97-4-5 ] -- [5-9-536 ] 
rotation 295-95-41 to 9-14-283 ,rotation: [ 295-95-41 ] -- [9-14-283 ] 
rotation 5-240-689 to 30-3-755 ,rotation: [ 5-240-689 ] -- [30-3-755 ] 
rotation 034-47-57 ,rotation: [ 034-47-57 ] 
rotation 0-5-99 ,rotation: [ 0-5-99 ] 
rotation 1-710-705 ,rotation: [ 1-710-705 ] 
rotation 7-862-081 to 56-650-1 ,rotation: [ 7-862-081 ] -- [56-650-1 ] 
rotation 4-188-9 to 486-8-5 ,rotation: [ 4-188-9 ] -- [486-8-5 ] 
rotation 540-09-316 to 557-0-112 ,rotation: [ 540-09-316 ] -- [557-0-112 ] 
rotation 30-8-067 to 65-2-888 ,rotation: [ 30-8-067 ] -- [65-2-888 ] 
rotation 72-6-063 to 035-312-86 ,rotation: [ 72-6-063 ] -- [035-312-86 ] 
rotation 3-04-4 to 62-0-226 ,rotation: [ 3-04-4 ] -- [62-0-226 ] 
rotation 778-748-084 to 1-3-492 ,rotation: [ 778-748-084 ] -- [1-3-492 ] 
rotation 1-4-50 to 5-33-221 ,rotation: [ 1-4-50 ] -- [5-33-221 ] 
rotation 37-543-224 ,rotation: [ 37-543-224 ] 
rotation 893-3-17 to 12-4-0 ,rotation: [ 893-3-17 ] -- [12-4-0 ] 
rotation 311-830-6 ,rotation: [ 311-830-6 ] 
rotation 40-5-32 ,rotation: [ 40-5-32 ] 
rotation 362-8-4 to 91-113-5 ,rotation: [ 362-8-4 ] -- [91-113-5 ] 
rotation 49-66-802 to 78-52-268 ,rotation: [ 49-66-802 ] -- [78-52-268 ] 
rotation 887-146-17 to 194-021-5 ,rotation: [ 887-146-17 ] -- [194-021-5 ] 
rotation 692-991-489 ,rotation: [ 692-991-489 ] 
rotation 1-263-7 to 52-530-84 ,rotation: [ 1-263-7 ] -- [52-530-84 ] 
rotation 4-8-53 ,rotation: [ 4-8-53 ] 
rotation 611-4-16 ,rotation: [ 611-4-16 ] 
rotation 6-0-90 ,rotation: [ 6-0-90 ] 
rotation 97-817-2 to 91-318-285 ,rotation: [ 97-817-2 ] -- [91-318-285 ] 
rotation 99-66-99 ,rotation: [ 99-66-99 ] 
rotation 78-5-2 ,rotation: [ 78-5-2 ] 
rotation 489-6-6 to 1-994-267 ,rotation: [ 489-6-6 ] -- [1-994-267 ] 
rotation 693-0-5 to 869-4-837 ,rotation: [ 693-0-5 ] -- [869-4-837 ] 
rotation 5-2-2 to 436-6-3 ,rotation: [ 5-2-2 ] -- [436-6-3 ] 
rotation 5-67-1 ,rotation: [ 5-67-1 ] 
rotation 25-82-5 ,rotation: [ 25-82-5 ] 
rotation 510-74-77 to 0-54-64 ,rotation: [ 510-74-77 ] -- [0-54-64 ] 
rotation 648-624-143 to 9-065-14 ,rotation: [ 648-624-143 ] -- [9-065-14 ] 
rotation 1-498-72 ,rotation: [ 1-498-72 ] 
rotation 605-81-54 to 3-7-03 ,rotation: [ 605-81-54 ] -- [3-7-03 ] 
rotation 8-956-35 to 4-920-63 ,rotation: [ 8-956-35 ] -- [4-920-63 ] 
rotation 355-000-649 ,rotation: [ 355-000-649 ] 
rotation 358-47-3 to 94-870-24 ,rotation: [ 358-47-3 ] -- [94-870-24 ] 
rotation 1-4-03 ,rotation: [ 1-4-03 ] 
rotation 997-01-2 ,rotation: [ 997-01-2 ] 
rotation 4-27-62 to 38-669-174 ,rotation: [ 4-27-62 ] -- [38-669-174 ] 
rotation 7-04-2 ,rotation: [ 7-04-2 ] 
rotation 923-6-445 to 477-017-52 ,rotation: [ 923-6-445 ] -- [477-017-52 ] 
rotation 9-358-979 ,rotation: [ 9-358-979 ] 
rotation 4-40-5 to 7-2-79 ,rotation: [ 4-40-5 ] -- [7-2-79 ] 
rotation 402-8-980 to 50-49-1 ,rotation: [ 402-8-980 ] -- [50-49-1 ] 
rotation 103-1-58 ,rotation: [ 103-1-58 ] 
rotation 258-978-3 ,rotation: [ 258-978-3 ] 
rotation 20-80-257 ,rotation: [ 20-80-257 ] 
rotation 627-5-4 ,rotation: [ 627-5-4 ] 
rotation 0-6-3 ,rotation: [ 0-6-3 ] 
rotation 8-689-9 to 809-5-6 ,rotation: [ 8-689-9 ] -- [809-5-6 ] 
rotation 47-023-70 ,rotation: [ 47-023-70 ] 
rotation 7-7-1 to 879-01-850 ,rotation: [ 7-7-1 ] -- [879-01-850 ] 
rotation 349-7-0 ,rotation: [ 349-7-0 ] 
rotation 070-312-61 ,rotation: [ 070-312-61 ] 
rotation 14-09-64 ,rotation: [ 14-09-64 ] 
rotation 2-8-03 to 238-4-07 ,rotation: [ 2-8-03 ] -- [238-4-07 ] 
